train_loss,train_acc,test_acc
1.8379839570264518,34.654,43.14
1.6667912047563724,41.122,46.49
1.5966499995056513,43.694,48.39
1.5451797868911075,45.646,49.7
1.5028630914935224,47.138,50.42
1.4762165931959756,48.15,50.98
1.4483521019733647,49.006,52.35
1.4252595070913978,49.778,52.27
1.4032163688256354,50.722,52.64
1.3833061738496244,51.588,53.78
